source,target,edge_type,weight
hashtag:chega,hashtag:portugal,hashtag_cooccurrence,1
hashtag:cheganas,hashtag:fyp,hashtag_cooccurrence,1
hashtag:cheganas,hashtag:portugal,hashtag_cooccurrence,1
hashtag:fyp,hashtag:portugal,hashtag_cooccurrence,1
hashtag:feminilidadecontracultural,hashtag:masculinidade,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:cienciaunam,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:culturaysociedad,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:incels,hashtag_cooccurrence,3
hashtag:cienciaunam,hashtag:culturaysociedad,hashtag_cooccurrence,1
hashtag:cienciaunam,hashtag:incels,hashtag_cooccurrence,1
hashtag:culturaysociedad,hashtag:incels,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:maternidadebiblica,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:maternidadereal,hashtag_cooccurrence,1
hashtag:maternidadebiblica,hashtag:maternidadereal,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:boramudarlauro,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:pldoestupradorn,hashtag_cooccurrence,1
hashtag:boramudarlauro,hashtag:feminismo,hashtag_cooccurrence,1
hashtag:boramudarlauro,hashtag:pldoestupradorn,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:pldoestupradorn,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:feminismoescancer,hashtag_cooccurrence,1
hashtag:feminazi,hashtag:feminismoescancer,hashtag_cooccurrence,2
hashtag:antifeminismo,hashtag:g,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:pesquisaacad,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:ppgs,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:ppgsuff,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:revistaestudosfeministas,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:sociologia,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:g,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:pesquisaacad,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:ppgs,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:ppgsuff,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:revistaestudosfeministas,hashtag_cooccurrence,1
