source,target,edge_type,weight
user:evita1evita2,narrative:narrativa_18,user_narrative,1.0
user:fei_was_here,narrative:narrativa_18,user_narrative,1.0
user:_nicolle.vr,narrative:narrativa_18,user_narrative,1.0
profile:sandro_sensei,narrative:narrativa_18,profile_narrative,1.0
profile:eldestapeweb,narrative:narrativa_18,profile_narrative,1.0
profile:eldocetv,narrative:narrativa_18,profile_narrative,1.0
user:virginyanika,narrative:narrativa_19,user_narrative,1.0
user:gabo_morales_h,narrative:narrativa_19,user_narrative,1.0
user:radfem_madrid,narrative:narrativa_19,user_narrative,1.0
user:crisameijenda,narrative:narrativa_19,user_narrative,1.0
user:gairimarcano,narrative:narrativa_2,user_narrative,1.0
user:leticiacristinarodriguez,narrative:narrativa_2,user_narrative,1.0
user:pit.alfonso,narrative:narrativa_2,user_narrative,1.0
user:m_elen22,narrative:narrativa_2,user_narrative,1.0
user:karmen._.1070,narrative:narrativa_2,user_narrative,1.0
user:soynoeli_00,narrative:narrativa_2,user_narrative,1.0
user:lsqmargarit,narrative:narrativa_2,user_narrative,1.0
user:antupiren1996,narrative:narrativa_2,user_narrative,1.0
user:90sdiamxnz,narrative:narrativa_2,user_narrative,1.0
user:eli_libros,narrative:narrativa_2,user_narrative,1.0
user:rosalia_pdroso,narrative:narrativa_2,user_narrative,1.0
user:highflow420,narrative:narrativa_2,user_narrative,1.0
user:quiero_un_mate__,narrative:narrativa_2,user_narrative,1.0
user:daiana.bazan.52,narrative:narrativa_2,user_narrative,1.0
user:anitavictoriaespinosaquiroz,narrative:narrativa_2,user_narrative,1.0
user:mnp.reflex,narrative:narrativa_2,user_narrative,1.0
user:gladys_estefania1306,narrative:narrativa_2,user_narrative,1.0
user:rosario.rosado.547,narrative:narrativa_2,user_narrative,1.0
user:jencreativa.art,narrative:narrativa_2,user_narrative,1.0
user:sandryta2,narrative:narrativa_2,user_narrative,1.0
user:mor_rosamaria,narrative:narrativa_2,user_narrative,1.0
profile:enriquesantosshow,narrative:narrativa_2,profile_narrative,2.0
profile:elchorrillerosl,narrative:narrativa_2,profile_narrative,1.0
profile:eldocetv,narrative:narrativa_2,profile_narrative,1.0
user:brauliobadillo,narrative:narrativa_3,user_narrative,1.0
user:stelapereyra,narrative:narrativa_3,user_narrative,1.0
user:dor_scrap,narrative:narrativa_3,user_narrative,1.0
user:beth.n.n,narrative:narrativa_3,user_narrative,1.0
user:juancarlosfernandez57,narrative:narrativa_3,user_narrative,1.0
